open_time,open,high,low,close,volume,ma10,ma20,ma50,ma100,ma200,body,body_pct,is_red,is_green,upper_wick,lower_wick,total_range,range_pct,returns,volatility_20,above_ma20,above_ma50,ma_trend_up,ma_trend_down,future_return_24h,future_max_24h,future_gain_24h
2025-01-01 00:00:00,0.316,0.3215,0.3156,0.3212,33872000.0,0.319593,0.318747,0.317325,0.318499,0.321074,0.005199999999999982,1.6455696202531591,False,True,0.00030000000000002247,0.00040000000000001146,0.005900000000000016,1.8670886075949418,,,True,True,True,False,,0.33888,5.504358655043596
2025-01-01 01:00:00,0.3212,0.32124,0.31809,0.31841,37910200.0,0.318673,0.319131,0.317407,0.31857,0.32111,0.002789999999999959,0.8686176836861641,True,False,4.0000000000040004e-05,0.00032000000000004247,0.0031500000000000417,0.9806973848069868,-0.8686176836861681,,False,True,False,False,,0.33888,6.428818190383463
2025-01-01 02:00:00,0.31842,0.32005,0.31816,0.32005,20748600.0,0.318138,0.319559,0.317491,0.318655,0.32116,0.0016300000000000203,0.5119025186860187,False,True,0.0,0.00025999999999998247,0.0018900000000000028,0.5935556811758064,0.5150592004019794,,True,True,False,False,,0.33888,5.883455710045309
2025-01-01 03:00:00,0.32005,0.32015,0.31857,0.31893,11257900.0,0.318106,0.319894,0.317436,0.318725,0.321174,0.0011200000000000099,0.34994532104359,True,False,9.999999999998899e-05,0.00035999999999997145,0.0015799999999999703,0.49367286361505086,-0.34994532104358766,,False,True,False,False,,0.33888,6.255291129714992
2025-01-01 04:00:00,0.31892,0.31918,0.31616,0.31623,17323500.0,0.317974,0.319867,0.317339,0.318747,0.321143,0.00268999999999997,0.8434717170450177,True,False,0.000260000000000038,7.00000000000145e-05,0.0030200000000000227,0.9469459425561341,-0.8465807543975079,,False,False,False,False,,0.33888,7.1625083009202175
2025-01-01 05:00:00,0.31623,0.31843,0.31618,0.31775,15227800.0,0.317925,0.319845,0.317304,0.318791,0.321123,0.0015199999999999658,0.4806628087151648,False,True,0.0006800000000000139,4.999999999999449e-05,0.0022499999999999742,0.7115074471112716,0.480662808715171,,False,True,False,False,,0.33888,6.649881982690807
2025-01-01 06:00:00,0.31774,0.31861,0.31665,0.31837,14699600.0,0.318086,0.319803,0.317333,0.318841,0.321081,0.0006299999999999639,0.19827531944355886,False,True,0.00024000000000001798,0.0010900000000000354,0.0019600000000000173,0.6168565493800017,0.19512195121951237,,False,True,False,False,,0.33888,6.442189904827725
2025-01-01 07:00:00,0.31836,0.31843,0.31619,0.31682,27711300.0,0.317985,0.319652,0.317318,0.318861,0.32104,0.0015399999999999858,0.483729111697445,True,False,7.00000000000145e-05,0.0006299999999999639,0.0022399999999999642,0.7036059806508244,-0.4868549172346581,,False,False,False,False,,0.33888,6.962944258569542
2025-01-01 08:00:00,0.31681,0.31726,0.3138,0.31401,26795400.0,0.317777,0.319375,0.317172,0.318863,0.32099,0.002799999999999969,0.8838104857801109,True,False,0.00045000000000000595,0.00020999999999998797,0.003459999999999963,1.092137243142566,-0.8869389558739948,,False,False,False,False,,0.33888,7.920129932167766
2025-01-01 09:00:00,0.31402,0.31481,0.31195,0.31371,36233900.0,0.317548,0.31883,0.317038,0.318844,0.320963,0.00031000000000003247,0.09871982676263691,True,False,0.0007899999999999574,0.0017599999999999838,0.0028599999999999737,0.91077001464874,-0.09553835865100391,,False,False,False,False,,0.34088,8.660865130215814
